============================================================
[repair-train 1/5] old_shard=9 task=task_elections model=Qwen/Qwen3-32B
  MAX_CONC=32 BATCH_SIZE=32
============================================================
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_elections/Qwen/Qwen3-32B/train_rft.json (3006 rows)
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_elections/Qwen/Qwen3-32B/train_tfb.json (6012 rows)
[train] epoch=0 step=58/188 loss=0.3834 lr=1.66e-04 elapsed=193.6s
[train] epoch=0 step=59/188 loss=0.3192 lr=1.65e-04 elapsed=197.0s
[train] epoch=0 step=60/188 loss=0.3819 lr=1.64e-04 elapsed=200.0s
[train] epoch=0 step=61/188 loss=0.3758 lr=1.63e-04 elapsed=204.2s
[train] epoch=0 step=62/188 loss=0.2937 lr=1.62e-04 elapsed=207.5s
[train] epoch=0 step=63/188 loss=0.3768 lr=1.60e-04 elapsed=210.4s
[train] epoch=0 step=64/188 loss=0.2833 lr=1.59e-04 elapsed=213.5s
[train] epoch=0 step=65/188 loss=0.2578 lr=1.58e-04 elapsed=216.4s
[train] epoch=0 step=66/188 loss=0.2842 lr=1.56e-04 elapsed=219.3s
[train] epoch=0 step=67/188 loss=0.2610 lr=1.55e-04 elapsed=223.1s
[train] epoch=0 step=68/188 loss=0.3193 lr=1.54e-04 elapsed=226.3s
[train] epoch=0 step=69/188 loss=0.3369 lr=1.52e-04 elapsed=229.6s
[train] epoch=0 step=70/188 loss=0.3410 lr=1.51e-04 elapsed=233.6s
[train] epoch=0 step=71/188 loss=0.2496 lr=1.50e-04 elapsed=237.0s
[train] epoch=0 step=72/188 loss=0.3030 lr=1.48e-04 elapsed=240.0s
[train] epoch=0 step=73/188 loss=0.3073 lr=1.47e-04 elapsed=243.6s
[train] epoch=0 step=74/188 loss=0.3365 lr=1.45e-04 elapsed=246.4s
[train] epoch=0 step=75/188 loss=0.3006 lr=1.44e-04 elapsed=251.6s
[train] epoch=0 step=76/188 loss=0.2573 lr=1.42e-04 elapsed=254.8s
[train] epoch=0 step=77/188 loss=0.3091 lr=1.41e-04 elapsed=258.2s
[train] epoch=0 step=78/188 loss=0.2721 lr=1.40e-04 elapsed=261.3s
[train] epoch=0 step=79/188 loss=0.2710 lr=1.38e-04 elapsed=264.3s
