============================================================
[repair-train 3/5] old_shard=13 task=task_sales model=openai/gpt-oss-20b
  MAX_CONC=32 BATCH_SIZE=32
============================================================
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_sales/openai/gpt-oss-20b/train_rft.json (3066 rows)
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_sales/openai/gpt-oss-20b/train_tfb.json (6132 rows)
[train] epoch=0 step=114/192 loss=0.4909 lr=8.83e-05 elapsed=301.1s
[train] epoch=0 step=115/192 loss=0.5135 lr=8.68e-05 elapsed=304.2s
[train] epoch=0 step=116/192 loss=0.4907 lr=8.54e-05 elapsed=306.5s
[train] epoch=0 step=117/192 loss=0.5039 lr=8.39e-05 elapsed=309.2s
[train] epoch=0 step=118/192 loss=0.4954 lr=8.25e-05 elapsed=312.4s
[train] epoch=0 step=119/192 loss=0.4827 lr=8.10e-05 elapsed=315.0s
[train] epoch=0 step=120/192 loss=0.5181 lr=7.96e-05 elapsed=317.2s
[train] epoch=0 step=121/192 loss=0.4861 lr=7.82e-05 elapsed=319.4s
[train] epoch=0 step=122/192 loss=0.4816 lr=7.68e-05 elapsed=321.9s
[train] epoch=0 step=123/192 loss=0.4899 lr=7.54e-05 elapsed=324.1s
[train] epoch=0 step=124/192 loss=0.4824 lr=7.40e-05 elapsed=326.4s
[train] epoch=0 step=125/192 loss=0.4770 lr=7.26e-05 elapsed=329.0s
[train] epoch=0 step=126/192 loss=0.4953 lr=7.12e-05 elapsed=331.9s
[train] epoch=0 step=127/192 loss=0.5117 lr=6.99e-05 elapsed=334.8s
[train] epoch=0 step=128/192 loss=0.4949 lr=6.85e-05 elapsed=337.3s
[train] epoch=0 step=129/192 loss=0.4917 lr=6.72e-05 elapsed=340.7s
[train] epoch=0 step=130/192 loss=0.4836 lr=6.59e-05 elapsed=342.8s
[train] epoch=0 step=131/192 loss=0.5116 lr=6.46e-05 elapsed=345.2s
[train] epoch=0 step=132/192 loss=0.4721 lr=6.33e-05 elapsed=347.6s
[train] epoch=0 step=133/192 loss=0.4655 lr=6.20e-05 elapsed=350.3s
[train] epoch=0 step=134/192 loss=0.5389 lr=6.07e-05 elapsed=352.5s
[train] epoch=0 step=135/192 loss=0.5114 lr=5.95e-05 elapsed=354.9s
[train] epoch=0 step=136/192 loss=0.4850 lr=5.82e-05 elapsed=357.3s
[train] epoch=0 step=137/192 loss=0.4850 lr=5.70e-05 elapsed=361.1s
[train] epoch=0 step=138/192 loss=0.5001 lr=5.58e-05 elapsed=363.3s
[train] epoch=0 step=139/192 loss=0.4972 lr=5.46e-05 elapsed=365.9s
[train] epoch=0 step=140/192 loss=0.5042 lr=5.34e-05 elapsed=368.8s
[train] epoch=0 step=141/192 loss=0.5096 lr=5.22e-05 elapsed=372.6s
[train] epoch=0 step=142/192 loss=0.4598 lr=5.11e-05 elapsed=374.8s
[train] epoch=0 step=143/192 loss=0.4428 lr=4.99e-05 elapsed=377.0s
[train] epoch=0 step=144/192 loss=0.4686 lr=4.88e-05 elapsed=379.3s
[train] epoch=0 step=145/192 loss=0.4900 lr=4.77e-05 elapsed=381.9s
[train] epoch=0 step=146/192 loss=0.4497 lr=4.66e-05 elapsed=384.1s
[train] epoch=0 step=147/192 loss=0.5325 lr=4.56e-05 elapsed=386.8s
[train] epoch=0 step=148/192 loss=0.5069 lr=4.45e-05 elapsed=389.2s
[train] epoch=0 step=149/192 loss=0.4828 lr=4.35e-05 elapsed=392.4s
[train] epoch=0 step=150/192 loss=0.4641 lr=4.25e-05 elapsed=395.2s
[train] epoch=0 step=151/192 loss=0.4792 lr=4.15e-05 elapsed=397.4s
[train] epoch=0 step=152/192 loss=0.4902 lr=4.05e-05 elapsed=400.9s
[train] epoch=0 step=153/192 loss=0.4840 lr=3.96e-05 elapsed=403.1s
[train] epoch=0 step=154/192 loss=0.4728 lr=3.86e-05 elapsed=405.9s
[train] epoch=0 step=155/192 loss=0.4183 lr=3.77e-05 elapsed=408.3s
[train] epoch=0 step=156/192 loss=0.4732 lr=3.68e-05 elapsed=411.3s
[train] epoch=0 step=157/192 loss=0.4581 lr=3.60e-05 elapsed=413.7s
[train] epoch=0 step=158/192 loss=0.4690 lr=3.51e-05 elapsed=416.1s
[train] epoch=0 step=159/192 loss=0.4935 lr=3.43e-05 elapsed=418.7s
[train] epoch=0 step=160/192 loss=0.4754 lr=3.35e-05 elapsed=421.3s
[train] epoch=0 step=161/192 loss=0.4768 lr=3.27e-05 elapsed=423.7s
[train] epoch=0 step=162/192 loss=0.4319 lr=3.19e-05 elapsed=426.0s
[train] epoch=0 step=163/192 loss=0.4218 lr=3.12e-05 elapsed=428.7s
[train] epoch=0 step=164/192 loss=0.4623 lr=3.05e-05 elapsed=431.0s
[train] epoch=0 step=165/192 loss=0.4602 lr=2.98e-05 elapsed=433.4s
[train] epoch=0 step=166/192 loss=0.5067 lr=2.91e-05 elapsed=436.2s
[train] epoch=0 step=167/192 loss=0.4750 lr=2.85e-05 elapsed=438.3s
[train] epoch=0 step=168/192 loss=0.4738 lr=2.78e-05 elapsed=440.7s
[train] epoch=0 step=169/192 loss=0.4786 lr=2.72e-05 elapsed=443.0s
[train] epoch=0 step=170/192 loss=0.4674 lr=2.66e-05 elapsed=445.6s
[train] epoch=0 step=171/192 loss=0.4531 lr=2.61e-05 elapsed=448.3s
[train] epoch=0 step=172/192 loss=0.4503 lr=2.55e-05 elapsed=451.3s
[train] epoch=0 step=173/192 loss=0.4709 lr=2.50e-05 elapsed=453.4s
[train] epoch=0 step=174/192 loss=0.4797 lr=2.45e-05 elapsed=456.7s
[train] epoch=0 step=175/192 loss=0.4604 lr=2.41e-05 elapsed=459.2s
[train] epoch=0 step=176/192 loss=0.4842 lr=2.36e-05 elapsed=462.5s
[train] epoch=0 step=177/192 loss=0.4631 lr=2.32e-05 elapsed=464.8s
[train] epoch=0 step=178/192 loss=0.4732 lr=2.28e-05 elapsed=467.0s
[train] epoch=0 step=179/192 loss=0.4767 lr=2.25e-05 elapsed=469.2s
[train] epoch=0 step=180/192 loss=0.4448 lr=2.21e-05 elapsed=472.1s
[train] epoch=0 step=181/192 loss=0.4692 lr=2.18e-05 elapsed=474.3s
[train] epoch=0 step=182/192 loss=0.4479 lr=2.15e-05 elapsed=476.5s
[train] epoch=0 step=183/192 loss=0.4455 lr=2.13e-05 elapsed=478.7s
[train] epoch=0 step=184/192 loss=0.4811 lr=2.10e-05 elapsed=481.5s
[train] epoch=0 step=185/192 loss=0.4530 lr=2.08e-05 elapsed=484.1s
[train] epoch=0 step=186/192 loss=0.4533 lr=2.06e-05 elapsed=486.5s
[train] epoch=0 step=187/192 loss=0.4803 lr=2.05e-05 elapsed=489.0s
[train] epoch=0 step=188/192 loss=0.4335 lr=2.03e-05 elapsed=492.3s
[train] epoch=0 step=189/192 loss=0.4733 lr=2.02e-05 elapsed=494.6s
[train] epoch=0 step=190/192 loss=0.4865 lr=2.01e-05 elapsed=496.8s
[train] epoch=0 step=191/192 loss=0.5214 lr=2.01e-05 elapsed=499.1s
[train] epoch=0 step=192/192 loss=0.4530 lr=2.00e-05 elapsed=501.9s
[train] final checkpoint -> tinker://be06afe5-b6a7-51a6-9737-f85002d9b6d1:train:1/sampler_weights/sft__task_sales__openai__gpt-oss-20b__tfb__final
[train] saved state -> /scratch/users/batuel/documents/molochs-bargain/new_experiments/models/task_sales/openai/gpt-oss-20b/tfb/state.json
[generate22] task=task_sales model=openai/gpt-oss-20b split=test prompts=1024
[generate22] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/res/task_sales/openai/gpt-oss-20b/base/test_step2.json
[generate2] task=task_sales model=openai/gpt-oss-20b method=rft split=test prompts=1024
