============================================================
[repair-train 4/5] old_shard=14 task=task_sm model=openai/gpt-oss-20b
  MAX_CONC=32 BATCH_SIZE=32
============================================================
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_sm/openai/gpt-oss-20b/train_rft.json (3069 rows)
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_sm/openai/gpt-oss-20b/train_tfb.json (6138 rows)
[train] epoch=0 step=86/192 loss=0.3537 lr=1.30e-04 elapsed=329.9s
[train] epoch=0 step=87/192 loss=0.3845 lr=1.29e-04 elapsed=333.2s
[train] epoch=0 step=88/192 loss=0.3935 lr=1.27e-04 elapsed=336.4s
[train] epoch=0 step=89/192 loss=0.3436 lr=1.26e-04 elapsed=340.2s
[train] epoch=0 step=90/192 loss=0.4300 lr=1.24e-04 elapsed=344.4s
[train] epoch=0 step=91/192 loss=0.3818 lr=1.23e-04 elapsed=356.3s
[train] epoch=0 step=92/192 loss=0.3598 lr=1.21e-04 elapsed=359.9s
[train] epoch=0 step=93/192 loss=0.3787 lr=1.20e-04 elapsed=363.9s
[train] epoch=0 step=94/192 loss=0.3184 lr=1.18e-04 elapsed=366.9s
[train] epoch=0 step=95/192 loss=0.3749 lr=1.17e-04 elapsed=370.2s
[train] epoch=0 step=96/192 loss=0.4151 lr=1.15e-04 elapsed=374.4s
[train] epoch=0 step=97/192 loss=0.3604 lr=1.14e-04 elapsed=377.8s
[train] epoch=0 step=98/192 loss=0.3421 lr=1.12e-04 elapsed=381.1s
[train] epoch=0 step=99/192 loss=0.3969 lr=1.11e-04 elapsed=384.8s
[train] epoch=0 step=100/192 loss=0.4026 lr=1.09e-04 elapsed=388.1s
[train] epoch=0 step=101/192 loss=0.3172 lr=1.08e-04 elapsed=393.3s
[train] epoch=0 step=102/192 loss=0.3593 lr=1.06e-04 elapsed=397.0s
[train] epoch=0 step=103/192 loss=0.3580 lr=1.05e-04 elapsed=409.8s
[train] epoch=0 step=104/192 loss=0.3559 lr=1.03e-04 elapsed=413.9s
[train] epoch=0 step=105/192 loss=0.3521 lr=1.02e-04 elapsed=417.7s
[train] epoch=0 step=106/192 loss=0.3509 lr=1.00e-04 elapsed=421.0s
[train] epoch=0 step=107/192 loss=0.2855 lr=9.87e-05 elapsed=425.3s
[train] epoch=0 step=108/192 loss=0.3755 lr=9.72e-05 elapsed=428.8s
[train] epoch=0 step=109/192 loss=0.3809 lr=9.57e-05 elapsed=432.7s
[train] epoch=0 step=110/192 loss=0.3290 lr=9.42e-05 elapsed=435.7s
[train] epoch=0 step=111/192 loss=0.3513 lr=9.27e-05 elapsed=439.1s
[train] epoch=0 step=112/192 loss=0.3666 lr=9.12e-05 elapsed=442.8s
[train] epoch=0 step=113/192 loss=0.3039 lr=8.98e-05 elapsed=446.5s
[train] epoch=0 step=114/192 loss=0.3047 lr=8.83e-05 elapsed=449.5s
[train] epoch=0 step=115/192 loss=0.3275 lr=8.68e-05 elapsed=452.8s
[train] epoch=0 step=116/192 loss=0.3304 lr=8.54e-05 elapsed=456.4s
[train] epoch=0 step=117/192 loss=0.3502 lr=8.39e-05 elapsed=459.6s
[train] epoch=0 step=118/192 loss=0.3217 lr=8.25e-05 elapsed=462.8s
[train] epoch=0 step=119/192 loss=0.3625 lr=8.10e-05 elapsed=465.8s
[train] epoch=0 step=120/192 loss=0.3894 lr=7.96e-05 elapsed=469.2s
