============================================================
[repair-train 2/5] old_shard=12 task=task_elections model=openai/gpt-oss-20b
  MAX_CONC=32 BATCH_SIZE=32
============================================================
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_elections/openai/gpt-oss-20b/train_rft.json (3021 rows)
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_elections/openai/gpt-oss-20b/train_tfb.json (6042 rows)
[train] epoch=0 step=63/189 loss=0.5512 lr=1.61e-04 elapsed=236.5s
[train] epoch=0 step=64/189 loss=0.6015 lr=1.59e-04 elapsed=239.4s
[train] epoch=0 step=65/189 loss=0.5873 lr=1.58e-04 elapsed=242.9s
[train] epoch=0 step=66/189 loss=0.5634 lr=1.57e-04 elapsed=246.1s
[train] epoch=0 step=67/189 loss=0.5905 lr=1.55e-04 elapsed=249.7s
[train] epoch=0 step=68/189 loss=0.5930 lr=1.54e-04 elapsed=253.3s
[train] epoch=0 step=69/189 loss=0.5557 lr=1.53e-04 elapsed=257.2s
[train] epoch=0 step=70/189 loss=0.5595 lr=1.51e-04 elapsed=260.3s
[train] epoch=0 step=71/189 loss=0.5311 lr=1.50e-04 elapsed=264.5s
[train] epoch=0 step=72/189 loss=0.5834 lr=1.49e-04 elapsed=267.6s
[train] epoch=0 step=73/189 loss=0.5470 lr=1.47e-04 elapsed=270.7s
[train] epoch=0 step=74/189 loss=0.5457 lr=1.46e-04 elapsed=274.1s
[train] epoch=0 step=75/189 loss=0.5534 lr=1.44e-04 elapsed=277.2s
[train] epoch=0 step=76/189 loss=0.5786 lr=1.43e-04 elapsed=280.2s
[train] epoch=0 step=77/189 loss=0.5505 lr=1.42e-04 elapsed=284.1s
[train] epoch=0 step=78/189 loss=0.5540 lr=1.40e-04 elapsed=286.5s
[train] epoch=0 step=79/189 loss=0.5421 lr=1.39e-04 elapsed=290.5s
[train] epoch=0 step=80/189 loss=0.5583 lr=1.37e-04 elapsed=294.0s
[train] epoch=0 step=81/189 loss=0.5826 lr=1.36e-04 elapsed=306.4s
[train] epoch=0 step=82/189 loss=0.5654 lr=1.34e-04 elapsed=309.5s
[train] epoch=0 step=83/189 loss=0.5557 lr=1.33e-04 elapsed=313.7s
[train] epoch=0 step=84/189 loss=0.5235 lr=1.31e-04 elapsed=316.9s
[train] epoch=0 step=85/189 loss=0.5354 lr=1.30e-04 elapsed=320.4s
[train] epoch=0 step=86/189 loss=0.5934 lr=1.28e-04 elapsed=324.4s
[train] epoch=0 step=87/189 loss=0.5360 lr=1.27e-04 elapsed=327.2s
[train] epoch=0 step=88/189 loss=0.5327 lr=1.25e-04 elapsed=330.3s
[train] epoch=0 step=89/189 loss=0.5611 lr=1.24e-04 elapsed=333.4s
[train] epoch=0 step=90/189 loss=0.5708 lr=1.22e-04 elapsed=336.7s
[train] epoch=0 step=91/189 loss=0.5688 lr=1.21e-04 elapsed=340.7s
[train] epoch=0 step=92/189 loss=0.5536 lr=1.19e-04 elapsed=344.7s
[train] epoch=0 step=93/189 loss=0.5259 lr=1.18e-04 elapsed=348.2s
[train] epoch=0 step=94/189 loss=0.5369 lr=1.16e-04 elapsed=351.1s
[train] epoch=0 step=95/189 loss=0.5523 lr=1.15e-04 elapsed=354.8s
[train] epoch=0 step=96/189 loss=0.5614 lr=1.13e-04 elapsed=357.6s
[train] epoch=0 step=97/189 loss=0.5417 lr=1.12e-04 elapsed=360.7s
[train] epoch=0 step=98/189 loss=0.5524 lr=1.10e-04 elapsed=364.2s
[train] epoch=0 step=99/189 loss=0.5051 lr=1.08e-04 elapsed=367.0s
[train] epoch=0 step=100/189 loss=0.5365 lr=1.07e-04 elapsed=369.4s
[train] epoch=0 step=101/189 loss=0.5529 lr=1.05e-04 elapsed=373.1s
[train] epoch=0 step=102/189 loss=0.5074 lr=1.04e-04 elapsed=376.5s
[train] epoch=0 step=103/189 loss=0.5706 lr=1.02e-04 elapsed=379.8s
[train] epoch=0 step=104/189 loss=0.5496 lr=1.01e-04 elapsed=383.6s
[train] epoch=0 step=105/189 loss=0.5688 lr=9.93e-05 elapsed=386.8s
[train] epoch=0 step=106/189 loss=0.5106 lr=9.77e-05 elapsed=390.1s
[train] epoch=0 step=107/189 loss=0.5473 lr=9.62e-05 elapsed=393.4s
[train] epoch=0 step=108/189 loss=0.5516 lr=9.47e-05 elapsed=407.2s
[train] epoch=0 step=109/189 loss=0.5091 lr=9.32e-05 elapsed=410.8s
[train] epoch=0 step=110/189 loss=0.5038 lr=9.17e-05 elapsed=414.9s
[train] epoch=0 step=111/189 loss=0.5339 lr=9.02e-05 elapsed=418.5s
[train] epoch=0 step=112/189 loss=0.5483 lr=8.87e-05 elapsed=421.8s
[train] epoch=0 step=113/189 loss=0.5290 lr=8.72e-05 elapsed=425.7s
[train] epoch=0 step=114/189 loss=0.5060 lr=8.57e-05 elapsed=429.3s
[train] epoch=0 step=115/189 loss=0.5542 lr=8.42e-05 elapsed=433.5s
[train] epoch=0 step=116/189 loss=0.5207 lr=8.28e-05 elapsed=436.4s
[train] epoch=0 step=117/189 loss=0.4897 lr=8.13e-05 elapsed=440.1s
[train] epoch=0 step=118/189 loss=0.5118 lr=7.99e-05 elapsed=443.8s
[train] epoch=0 step=119/189 loss=0.5447 lr=7.84e-05 elapsed=447.4s
[train] epoch=0 step=120/189 loss=0.5274 lr=7.70e-05 elapsed=460.8s
[train] epoch=0 step=121/189 loss=0.4996 lr=7.56e-05 elapsed=464.7s
[train] epoch=0 step=122/189 loss=0.5342 lr=7.41e-05 elapsed=468.5s
[train] epoch=0 step=123/189 loss=0.5412 lr=7.27e-05 elapsed=473.1s
[train] epoch=0 step=124/189 loss=0.4843 lr=7.13e-05 elapsed=475.9s
[train] epoch=0 step=125/189 loss=0.5154 lr=7.00e-05 elapsed=479.8s
[train] epoch=0 step=126/189 loss=0.4954 lr=6.86e-05 elapsed=483.5s
[train] epoch=0 step=127/189 loss=0.5530 lr=6.72e-05 elapsed=486.8s
[train] epoch=0 step=128/189 loss=0.5224 lr=6.59e-05 elapsed=490.2s
[train] epoch=0 step=129/189 loss=0.4624 lr=6.46e-05 elapsed=493.9s
[train] epoch=0 step=130/189 loss=0.5294 lr=6.32e-05 elapsed=497.4s
[train] epoch=0 step=131/189 loss=0.5237 lr=6.19e-05 elapsed=500.6s
[train] epoch=0 step=132/189 loss=0.4602 lr=6.06e-05 elapsed=503.6s
[train] epoch=0 step=133/189 loss=0.5258 lr=5.94e-05 elapsed=507.4s
[train] epoch=0 step=134/189 loss=0.5019 lr=5.81e-05 elapsed=510.5s
[train] epoch=0 step=135/189 loss=0.5522 lr=5.69e-05 elapsed=513.5s
[train] epoch=0 step=136/189 loss=0.5229 lr=5.56e-05 elapsed=516.8s
[train] epoch=0 step=137/189 loss=0.5312 lr=5.44e-05 elapsed=520.4s
[train] epoch=0 step=138/189 loss=0.4999 lr=5.32e-05 elapsed=524.1s
[train] epoch=0 step=139/189 loss=0.5350 lr=5.20e-05 elapsed=527.6s
[train] epoch=0 step=140/189 loss=0.4677 lr=5.09e-05 elapsed=531.5s
[train] epoch=0 step=141/189 loss=0.5256 lr=4.97e-05 elapsed=535.0s
[train] epoch=0 step=142/189 loss=0.5249 lr=4.86e-05 elapsed=537.8s
[train] epoch=0 step=143/189 loss=0.4981 lr=4.75e-05 elapsed=541.2s
[train] epoch=0 step=144/189 loss=0.5626 lr=4.64e-05 elapsed=544.6s
[train] epoch=0 step=145/189 loss=0.5268 lr=4.53e-05 elapsed=547.9s
[train] epoch=0 step=146/189 loss=0.5002 lr=4.42e-05 elapsed=552.6s
[train] epoch=0 step=147/189 loss=0.5162 lr=4.32e-05 elapsed=555.7s
[train] epoch=0 step=148/189 loss=0.4635 lr=4.22e-05 elapsed=559.8s
[train] epoch=0 step=149/189 loss=0.5246 lr=4.12e-05 elapsed=563.9s
[train] epoch=0 step=150/189 loss=0.5006 lr=4.02e-05 elapsed=567.6s
[train] epoch=0 step=151/189 loss=0.4695 lr=3.92e-05 elapsed=570.9s
